kod;warp;tip;deger;tarih;cip;cm;en;gr;Comp;A1;A11;A111;A1111;A2;A22;A222;A2222;A3;A33;A333;A3333;A4;A44;A444;A4444;A5;A55;A555;A5555;A6;A66;A666;A6666;A7;A77;A777;A7777;A8;A88;A888;A8888;PÇ;P2;P2B;P2F;P3;P3B;P3F;P4;P4B;P4F;P5;P5B;P5F;P6;P6B;P6F;P7;P7B;P7F;P8;P8B;P8F;P9;P9B;P9F;P10;P10B;P10F;SAT_A;SAT_B;SAT_C;SAT_D;SAT_E;SAT_F;SAT_G;SAT_H;SAT_I;SAT_J;SAT_K
3002;CZ00061;TRI40;2,59$;13.05.25;(061) TERGAL 40'lý;42,0/cm;305cm;52m²;%100 PES;50 DEN 1000 TUR (ALFA);42;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% 2;ARMÜR;0,030 $;1,26 $;ÇÖZGÜ ÝPLÝK;078 gr;0,55 $;ATKI ÝPLÝK;082 gr;0,59 $;APRE;0,80  $;0,13 $;;;;;;;;;;;;;;;;;;;;;;;;;;
3003;CZ00061;TRI40;1,15$;13.05.25;(061) TERGAL 40'lý;42,0/cm;305cm;69m²;%100 PES;80 DEN 350 TUR HAM PARLAK;21;42;;80 DEN 350 TUR HAM PARLAK;21;42;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;078 gr;0,55 $;ATKI ÝPLÝK;131 gr;;TEK BOYA;1,80  $;0,38 $;KURÞUN;0,15  $;0,15 $;;;;;;;;;;;;;;;;;;;;;;;
3200;CZ00017;SMG60;4,84$;13.05.25;(017) MICRO 60'lý;26,0/cm;305cm;153m²;%100 PES;150 DEN DÜZENSÝZ KATYONÝK;26;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% 31;ARMÜR;0,030 $;0,78 $;ÇÖZGÜ ÝPLÝK;315 gr;1,20 $;ATKI ÝPLÝK;152 gr;0,58 $;KATYONÝK BOYA;2,40  $;1,12 $;;;;;;;;;;;;;;;;;;;;;;;;;;
3300;CZ00017;SMG60;3,42$;13.05.25;(017) MICRO 60'lý;21,0/cm;305cm;183m²;%100 PES;300 DEN DÜZENSÝZ IMG KATYONÝK;21;21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;315 gr;1,20 $;ATKI ÝPLÝK;242 gr;0,65 $;ÇÝFT BOYA;2,50  $;1,39 $;;;;;;;;;;;;;;;;;;;;;;;;;;
5559;CZ00010;TFT57;2,35$;13.05.25;(010) ARMÜR TAFTA;21,6/cm;;;%100 PES;150 DEN 48 F PES TEKS PARLAK;12;36;;150 DEN 48 F PES TEKS PARLAK;12;36;;5.2 NM AKRÝLÝK ÞÖNÝL;6;12;;5.2 NM AKRÝLÝK ÞÖNÝL;6;12;;;;;;;;;;;;;;;;;;% 5;ARMÜR;0,030 $;0,65 $;ÇÖZGÜ ÝPLÝK;160 gr;0,77 $;ATKI ÝPLÝK;541 gr;0,24 $;APRE;0,80  $;0,56 $;;;;;;;;;;;;;;;;;;;;;;;;;;
6802;CZ00013;TRG30;1,88$;13.05.25;(013) TERGAL 30'lu;40,0/cm;;;%100 PES;20 DEN HAM PARLAK;20;40;;20 DEN HAM PARLAK;20;40;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,028 $;1,12 $;ÇÖZGÜ ÝPLÝK;076 gr;0,24 $;ATKI ÝPLÝK;031 gr;0,17 $;APRE;0,80  $;0,09 $;KURÞUN;0,15  $;0,15 $;;;;;;;;;;;;;;;;;;;;;;;
10217;CZ00015;TFT90;3,85$;13.05.25;(015) TAFTA 90'lý;38,0/cm;;;%98 PES %2 MTL;300 DEN 96 F PES TEKS PARLAK RENKLÝ;3720;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;3720;38;;300 DEN ÇEKEN ;1240;38;;PARLAK TAKVÝYESÝZ SÝM;1170;38;;;;;;;;;;;;;;;;;;% 19;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;345 gr;1,36 $;ÇEKEN APRE;1,00  $;0,61 $;;;;;;;;;;;;;;;;;;;;;;;;;;
10218;CZ00015;TFT90;3,46$;13.05.25;(015) TAFTA 90'lý;38,0/cm;;;%100 PES;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1560;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1560;38;;300 DEN ÇEKEN ;520;38;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;375 gr;1,39 $;ÇEKEN APRE;1,00  $;0,64 $;;;;;;;;;;;;;;;;;;;;;;;;;;
10224;CZ00015;TFT90;4,05$;13.05.25;(015) TAFTA 90'lý;50,0/cm;;;%100 PES;300 DEN 96 F PES TEKS PARLAK RENKLÝ;320;50;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;320;50;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;320;50;;300 DEN ÇEKEN ;160;50;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;494 gr;1,83 $;ÇEKEN APRE;1,00  $;0,75 $;;;;;;;;;;;;;;;;;;;;;;;;;;
10227;CZ00015;TFT90;3,33$;13.05.25;(015) TAFTA 90'lý;38,0/cm;;;%100 PES;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1620;38;;300 DEN 96 F PES TEKS PARLAK RENKLÝ;1620;38;;300 DEN ÇEKEN ;540;38;;;;;;;;;;;;;;;;;;;;;;% 5;REGÜLE;0,000 $;;ÇÖZGÜ ÝPLÝK;261 gr;1,25 $;ATKI ÝPLÝK;375 gr;1,39 $;APRE;0,80  $;0,51 $;;;;;;;;;;;;;;;;;;;;;;;;;;
22083;CZ00034;TFT60;5,80$;13.05.25;(034) TAFTA 60'lý 150 Turlu;22,0/cm;305cm;227m²;%92 PES %8 PAM;20/2 NE KESÝKELYAF RENKLÝ;11;22;;20/1 NE POLYESTER - PAMUK RENKLÝ;11;22;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,21 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;337 gr;2,35 $;APRE;0,80  $;0,55 $;;;;;;;;;;;;;;;;;;;;;;;;;;
22085;CZ00034;TFT60;4,16$;13.05.25;(034) TAFTA 60'lý 150 Turlu;22,0/cm;305cm;154m²;%88 PES %12 PAM;10/1 NE KESÝKELYAF FLAM RENKLÝ;1060;22;;20/1 NE POLYESTER - PAMUK RENKLÝ;1060;22;;;;;;;;;;;;;;;;;;;;;;;;;;% 5;JAKAR;0,055 $;1,21 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;112 gr;0,96 $;APRE;0,80  $;0,38 $;;;;;;;;;;;;;;;;;;;;;;;;;;
22086;CZ00034;TFT60;3,14$;13.05.25;(034) TAFTA 60'lý 150 Turlu;24,0/cm;305cm;117m²;%100 PES;8/1 NE KESÝK ELYAF FLAM;18;24;;300/96 DEN PES FDY PARLAK RENKLÝ;6;24;;;;;;;;;;;;;;;;;;;;;;;;;;% 4;JAKAR;0,055 $;1,32 $;ÇÖZGÜ ÝPLÝK;357 gr;1,39 $;ATKI ÝPLÝK;000 gr;;APRE;0,80  $;0,29 $;;;;;;;;;;;;;;;;;;;;;;;;;;
